actuator,x_coord,y_coord
0,211,59
1,223,60
2,236,59
3,249,60
4,262,60
5,275,61
6,288,61
7,300,62
8,314,61
9,326,62
10,339,62
11,351,62
12,186,72
13,197,71
14,209,70
15,222,71
16,235,71
17,248,72
18,261,72
19,274,72
20,287,73
21,300,73
22,313,73
23,326,74
24,338,74
25,351,74
26,364,75
27,376,77
28,159,84
29,171,83
30,184,82
31,197,83
32,209,83
33,222,84
34,235,84
35,248,84
36,261,85
37,273,85
38,287,86
39,299,86
40,312,86
41,325,86
42,338,87
43,351,88
44,364,88
45,377,88
46,389,89
47,402,91
48,146,95
49,158,95
50,171,95
51,183,95
52,196,96
53,209,96
54,222,96
55,235,97
56,247,97
57,261,98
58,274,98
59,287,98
60,299,98
61,312,99
62,325,99
63,338,100
64,351,100
65,363,100
66,376,101
67,390,101
68,402,102
69,414,104
70,133,108
71,145,107
72,157,107
73,170,108
74,184,108
75,196,109
76,209,109
77,221,110
78,234,110
79,247,110
80,260,111
81,274,111
82,286,111
83,299,112
84,312,112
85,325,112
86,337,113
87,351,113
88,363,113
89,376,114
90,389,115
91,402,115
92,415,115
93,427,116
94,119,120
95,131,120
96,144,119
97,157,120
98,170,121
99,183,121
100,195,121
101,208,122
102,221,122
103,234,123
104,247,123
105,260,123
106,273,124
107,286,124
108,298,124
109,311,125
110,324,125
111,337,126
112,350,126
113,363,126
114,376,127
115,389,127
116,402,127
117,414,128
118,427,128
119,439,130
120,107,134
121,118,132
122,131,132
123,145,132
124,157,132
125,169,133
126,183,134
127,196,134
128,208,135
129,221,134
130,233,136
131,247,135
132,260,137
133,273,136
134,285,137
135,298,137
136,311,138
137,324,138
138,337,139
139,350,139
140,362,139
141,375,139
142,388,140
143,402,140
144,414,141
145,427,141
146,440,142
147,451,143
148,94,146
149,105,145
150,117,145
151,130,145
152,143,146
153,156,146
154,169,146
155,182,147
156,195,147
157,208,147
158,221,147
159,233,148
160,247,148
161,259,149
162,272,150
163,285,150
164,298,150
165,311,150
166,324,151
167,336,151
168,350,152
169,362,152
170,375,152
171,388,153
172,401,153
173,414,154
174,426,154
175,439,154
176,452,155
177,464,156
178,93,157
179,104,157
180,117,158
181,130,158
182,143,158
183,156,159
184,169,159
185,182,159
186,195,160
187,208,160
188,221,160
189,233,161
190,247,161
191,259,162
192,271,162
193,285,163
194,298,163
195,311,163
196,323,164
197,337,164
198,349,164
199,362,165
200,375,166
201,387,165
202,401,166
203,414,166
204,427,167
205,439,167
206,453,167
207,465,168
208,80,171
209,91,170
210,104,170
211,117,170
212,130,171
213,143,172
214,156,172
215,169,172
216,182,172
217,194,173
218,208,173
219,220,174
220,233,174
221,246,174
222,259,175
223,272,175
224,284,176
225,298,176
226,310,176
227,323,177
228,336,177
229,349,177
230,362,178
231,374,178
232,387,178
233,401,179
234,413,179
235,426,179
236,439,180
237,452,180
238,465,180
239,476,182
240,79,183
241,91,183
242,104,184
243,117,184
244,129,183
245,142,184
246,155,184
247,168,185
248,181,185
249,194,185
250,207,186
251,220,186
252,233,187
253,246,187
254,259,188
255,271,187
256,284,189
257,297,189
258,309,189
259,323,189
260,336,189
261,348,190
262,361,191
263,374,190
264,387,192
265,400,191
266,413,192
267,426,193
268,439,193
269,452,193
270,465,193
271,477,194
272,66,196
273,77,195
274,90,196
275,103,197
276,116,196
277,129,196
278,142,197
279,155,197
280,168,197
281,181,198
282,194,198
283,207,199
284,220,199
285,233,200
286,245,200
287,258,200
288,271,200
289,284,201
290,297,202
291,310,202
292,322,202
293,335,202
294,348,203
295,361,204
296,374,204
297,387,204
298,400,204
299,412,205
300,425,205
301,439,206
302,451,206
303,464,207
304,477,207
305,489,208
306,66,208
307,77,208
308,90,209
309,103,209
310,116,209
311,129,209
312,142,209
313,155,210
314,168,210
315,180,210
316,193,211
317,206,212
318,219,212
319,232,212
320,245,212
321,258,214
322,270,213
323,284,214
324,297,214
325,309,214
326,322,215
327,335,215
328,348,216
329,361,217
330,373,217
331,386,217
332,399,217
333,412,218
334,425,218
335,438,219
336,452,219
337,464,219
338,477,220
339,489,220
340,65,221
341,77,221
342,90,221
343,103,222
344,116,222
345,128,222
346,142,223
347,155,223
348,167,223
349,181,224
350,193,224
351,206,225
352,219,225
353,232,226
354,244,226
355,257,226
356,271,227
357,283,226
358,296,227
359,309,227
360,322,227
361,334,228
362,347,229
363,360,229
364,373,230
365,386,230
366,399,231
367,412,231
368,425,231
369,438,232
370,451,232
371,464,232
372,477,233
373,488,233
374,65,234
375,76,234
376,89,234
377,102,234
378,115,235
379,128,235
380,141,235
381,154,236
382,167,236
383,180,237
384,193,237
385,206,238
386,218,238
387,231,238
388,244,239
389,257,239
390,270,240
391,283,239
392,296,240
393,309,240
394,321,241
395,334,241
396,347,241
397,360,242
398,373,242
399,386,242
400,399,243
401,412,243
402,424,244
403,438,245
404,450,244
405,463,245
406,477,245
407,488,245
408,64,247
409,76,247
410,89,247
411,102,248
412,115,248
413,128,248
414,141,248
415,153,249
416,167,250
417,180,250
418,192,250
419,205,250
420,218,251
421,231,251
422,243,251
423,257,252
424,269,253
425,283,253
426,296,253
427,308,253
428,321,253
429,334,254
430,347,254
431,360,255
432,373,255
433,385,255
434,398,256
435,411,257
436,424,257
437,438,257
438,450,258
439,463,258
440,476,259
441,488,259
442,64,260
443,76,260
444,89,261
445,102,261
446,114,261
447,127,261
448,140,262
449,153,262
450,166,262
451,179,262
452,192,263
453,205,263
454,218,263
455,231,264
456,243,264
457,256,265
458,269,265
459,282,265
460,296,266
461,308,266
462,321,266
463,334,267
464,347,267
465,360,267
466,372,268
467,386,268
468,398,269
469,411,269
470,424,270
471,437,271
472,450,271
473,463,271
474,476,271
475,488,272
476,63,272
477,75,273
478,88,274
479,101,274
480,114,274
481,127,274
482,140,274
483,153,274
484,166,275
485,179,276
486,192,276
487,204,276
488,218,277
489,231,277
490,243,277
491,256,278
492,269,278
493,282,279
494,295,279
495,308,279
496,320,279
497,333,280
498,347,280
499,359,281
500,372,281
501,385,281
502,398,282
503,411,282
504,424,283
505,437,283
506,449,284
507,463,284
508,476,284
509,487,285
510,63,285
511,75,286
512,88,286
513,100,286
514,114,287
515,127,287
516,139,287
517,152,288
518,165,288
519,179,288
520,191,288
521,204,289
522,217,289
523,230,290
524,243,290
525,256,291
526,268,292
527,281,291
528,294,292
529,307,292
530,320,292
531,333,293
532,346,293
533,359,293
534,371,294
535,384,295
536,398,294
537,410,295
538,423,296
539,437,296
540,449,296
541,462,297
542,475,298
543,487,298
544,63,299
545,75,299
546,88,299
547,100,299
548,113,300
549,126,300
550,139,301
551,152,300
552,165,300
553,178,301
554,191,302
555,204,302
556,217,302
557,230,303
558,243,303
559,255,304
560,268,304
561,281,304
562,294,304
563,307,305
564,320,306
565,333,306
566,345,306
567,358,307
568,371,307
569,384,308
570,397,308
571,410,308
572,423,309
573,436,309
574,449,309
575,462,310
576,475,310
577,487,310
578,63,312
579,74,312
580,87,312
581,100,312
582,113,313
583,126,313
584,138,313
585,152,314
586,164,314
587,177,314
588,191,314
589,203,315
590,217,315
591,229,315
592,242,316
593,255,317
594,268,317
595,281,317
596,293,317
597,307,318
598,319,318
599,333,319
600,345,319
601,358,320
602,371,320
603,384,320
604,397,321
605,410,321
606,423,322
607,436,322
608,449,323
609,462,323
610,475,323
611,487,324
612,62,325
613,74,325
614,87,325
615,99,325
616,113,326
617,125,326
618,139,327
619,151,327
620,165,328
621,177,327
622,190,328
623,203,328
624,216,328
625,229,329
626,242,329
627,255,330
628,268,330
629,280,330
630,294,330
631,307,331
632,319,331
633,332,332
634,345,332
635,358,332
636,370,333
637,384,334
638,396,334
639,410,334
640,422,335
641,436,335
642,448,335
643,462,336
644,474,337
645,486,336
646,63,336
647,73,337
648,86,338
649,99,338
650,112,339
651,125,339
652,138,339
653,151,339
654,164,340
655,177,340
656,190,341
657,203,341
658,216,342
659,229,342
660,241,342
661,254,342
662,267,343
663,280,343
664,293,344
665,306,344
666,319,345
667,332,345
668,344,345
669,358,345
670,371,346
671,384,346
672,396,346
673,410,347
674,422,348
675,436,348
676,448,349
677,462,349
678,474,350
679,484,349
680,74,351
681,86,351
682,99,351
683,112,352
684,125,352
685,137,352
686,151,353
687,163,353
688,176,353
689,189,353
690,202,354
691,215,354
692,229,355
693,241,355
694,254,356
695,266,356
696,279,356
697,293,357
698,305,357
699,318,357
700,332,358
701,344,358
702,357,359
703,370,359
704,384,360
705,396,360
706,409,360
707,422,361
708,435,361
709,448,362
710,461,362
711,473,362
712,74,362
713,86,364
714,98,365
715,111,365
716,125,365
717,138,366
718,151,366
719,163,366
720,176,366
721,189,367
722,202,367
723,215,367
724,228,368
725,241,368
726,254,369
727,267,369
728,279,369
729,292,370
730,306,370
731,318,370
732,331,371
733,344,371
734,357,371
735,371,372
736,382,373
737,396,373
738,409,373
739,422,374
740,435,374
741,448,375
742,460,374
743,472,374
744,86,377
745,98,378
746,111,378
747,124,378
748,137,379
749,150,379
750,163,379
751,175,379
752,188,379
753,202,380
754,215,380
755,228,381
756,240,381
757,253,381
758,266,381
759,279,383
760,292,383
761,305,383
762,318,383
763,331,384
764,343,384
765,357,385
766,369,385
767,383,386
768,396,386
769,409,386
770,422,387
771,434,387
772,447,388
773,460,388
774,86,389
775,98,390
776,110,391
777,124,391
778,137,392
779,149,392
780,162,392
781,176,393
782,188,393
783,201,393
784,214,393
785,227,394
786,240,394
787,253,395
788,265,395
789,279,395
790,292,396
791,305,396
792,317,396
793,330,397
794,343,397
795,356,398
796,370,398
797,382,399
798,396,399
799,408,399
800,421,400
801,434,401
802,447,401
803,459,400
804,98,402
805,110,404
806,123,404
807,136,405
808,149,405
809,162,405
810,175,406
811,188,406
812,201,406
813,214,407
814,227,407
815,239,407
816,253,408
817,265,408
818,279,409
819,291,409
820,305,409
821,317,410
822,331,410
823,344,410
