actuator,x_coord,y_coord
0,185,39
1,198,39
2,210,40
3,224,40
4,236,40
5,250,41
6,263,41
7,276,41
8,289,41
9,301,41
10,314,41
11,326,42
12,160,53
13,172,52
14,185,51
15,198,51
16,211,51
17,223,51
18,236,52
19,249,52
20,262,52
21,276,52
22,288,52
23,301,53
24,314,53
25,327,53
26,340,54
27,352,55
28,134,66
29,146,65
30,159,64
31,172,64
32,184,64
33,198,64
34,210,65
35,223,65
36,237,65
37,248,66
38,261,65
39,275,65
40,288,65
41,301,66
42,314,66
43,326,66
44,340,66
45,353,66
46,366,68
47,378,67
48,121,78
49,133,77
50,146,76
51,159,77
52,171,77
53,184,77
54,196,78
55,210,78
56,223,77
57,236,78
58,249,78
59,261,78
60,275,79
61,288,78
62,301,79
63,314,79
64,327,79
65,339,79
66,353,79
67,366,79
68,378,79
69,391,80
70,108,91
71,120,89
72,132,90
73,145,90
74,158,90
75,171,90
76,184,90
77,197,91
78,210,91
79,223,90
80,236,91
81,249,91
82,262,91
83,274,92
84,288,91
85,300,92
86,313,92
87,326,92
88,339,92
89,353,92
90,365,92
91,378,92
92,391,93
93,403,94
94,95,104
95,107,102
96,119,102
97,132,102
98,145,103
99,158,103
100,171,103
101,184,103
102,197,103
103,210,104
104,223,104
105,236,104
106,249,104
107,262,104
108,275,104
109,287,105
110,300,105
111,313,105
112,326,105
113,339,105
114,352,105
115,365,105
116,378,105
117,391,106
118,404,106
119,417,107
120,82,116
121,94,115
122,106,115
123,119,115
124,132,115
125,145,116
126,158,116
127,171,116
128,184,117
129,197,116
130,210,116
131,223,117
132,235,117
133,249,117
134,261,117
135,274,117
136,287,118
137,300,118
138,313,118
139,326,118
140,339,118
141,352,119
142,365,118
143,378,119
144,391,118
145,404,119
146,417,119
147,429,120
148,69,128
149,81,128
150,93,128
151,106,128
152,119,128
153,132,128
154,145,129
155,158,128
156,171,129
157,184,129
158,197,129
159,210,130
160,222,130
161,235,130
162,249,130
163,261,130
164,275,131
165,287,131
166,300,131
167,313,131
168,326,131
169,339,131
170,352,132
171,365,131
